ID;xstart;ystart;xend;yend
3853;511673.1262;5281955.078;511347.168;5282165.039
3854;512266.4795;5281912.109;511700.3479;5282458.008
3855;512732.1167;5282157.227;512134.7656;5282627.441
3856;511832.4585;5283000.488;511631.2866;5283270.508
3857;512205.0171;5283289.063;512052.063;5283447.754
3858;512300.7202;5283397.949;512162.5366;5283520.508
3859;511988.0981;5283611.328;511709.1675;5283923.828
3860;512301.3306;5283723.145;511840.8203;5284027.832
3861;511259.9487;5283722.656;511030.5481;5284025.879
3862;512960.3882;5282296.875;512605.5908;5282545.898
3863;512429.9316;5282718.262;512119.5679;5282990.723
3864;513306.9458;5282324.219;513162.4756;5282512.695
3865;513643.0054;5282141.602;513496.3989;5282268.066
3866;513696.167;5282287.598;513500.1221;5282559.082
3867;513117.2485;5282712.891;512983.7646;5282796.387
3868;513433.5327;5282574.219;513228.3936;5282714.356
3869;511295.1355;5283423.828;511002.4414;5283792.481
3870;510897.0947;5282895.508;510628.0518;5283131.348
3871;510947.052;5283077.148;510801.9104;5283242.676
3872;511421.7834;5283039.063;511179.1077;5283244.141
3873;511765.7166;5283670.41;511151.1536;5284329.102
3874;511138.9771;5284418.457;510845.0928;5284835.938
3875;511837.616;5284162.109;511137.3596;5284751.465
3876;512083.8013;5282366.211;511896.1487;5282539.063
3877;510826.7517;5282085.449;510306.8237;5282255.371
3878;510578.0029;5283052.246;510294.4031;5283234.863
3879;510639.5874;5283252.441;510317.1082;5283595.703
3880;510738.5254;5283811.523;510341.9189;5284222.168
3881;510160.0952;5283226.563;509658.0811;5283558.594
3882;509878.54;5283653.32;509509.1858;5284084.473
3883;509663.8794;5284114.746;509557.7698;5284350.586
3884;509616.6077;5284374.023;509246.6125;5284703.613
3885;510246.582;5284479.492;509820.4346;5284966.309
3886;510153.9001;5284980.957;509966.0034;5285383.301
3887;510048.7061;5284090.82;509797.4243;5284462.891
3888;510382.5989;5283874.023;510310.5164;5283971.191
3889;509549.1028;5283452.148;508870.1782;5283806.152
3890;508900.4822;5283114.746;508553.8025;5283146.973
3891;511011.2;5285098.145;510770.6909;5285379.883
3892;511287.1399;5285009.766;510965.4236;5285472.168
3893;511064.2395;5285537.109;510616.2109;5286041.992
3894;511536.8347;5285124.023;511237.5183;5285467.285
3895;511299.7742;5285609.375;510950.1648;5286026.856
3896;510113.4644;5285505.859;510037.6587;5285641.602
3897;510406.0669;5285352.051;510244.3848;5285548.828
3898;510728.363;5284756.836;510639.8621;5284924.316
3899;510637.7258;5284987.305;510404.9072;5285286.621
3900;510570.5261;5285426.758;510506.2256;5285582.52
3901;510653.656;5285503.906;510456.2073;5285903.32
3902;509559.906;5284780.273;509372.6501;5285086.914
3903;509072.5403;5284772.461;508884.9182;5284965.332
3904;510494.0186;5286093.75;509962.5244;5286702.148
3906;508982.3303;5284147.461;508457.3975;5284423.34
3907;509442.8101;5284078.125;509122.7112;5284559.082
3908;509212.0361;5284952.148;508947.6929;5285298.828
3909;508840.9729;5285087.891;508632.2632;5285252.93
3910;508695.0378;5285446.777;508334.0454;5285643.066
3911;508736.6333;5285666.992;508476.8372;5286005.371
3912;509009.2163;5285749.512;508898.5291;5285903.32
3913;508709.6252;5285961.426;508461.8225;5286213.379
3914;509335.5408;5285921.387;509065.6128;5286287.598
3915;509647.4304;5286350.098;509414.3372;5286690.43
3916;509675.9338;5286082.031;509575.9888;5286242.676
3917;509667.45;5285819.824;509489.8376;5286171.875
3918;509846.4966;5285796.387;509752.0142;5285956.543
3919;510108.1848;5285880.371;509894.6533;5286201.66
3920;509634.9487;5286871.094;509517.2119;5287025.391
3921;509150.0244;5285758.789;508993.7744;5285978.027
3922;509053.6804;5285561.035;508819.6716;5285788.086
3923;508432.9529;5284646.484;508321.8384;5284771.484
3924;508255.0964;5284903.809;507981.781;5285287.598
3925;507755.5542;5285605.957;507560.8215;5285751.465
3926;507995.5444;5285646.484;507809.845;5285836.914
3927;507566.6199;5285459.961;507278.2593;5285738.281
3928;507437.4695;5286059.57;507254.7607;5286190.43
3929;507657.9895;5285966.797;507516.449;5286066.895
3930;507768.3105;5284632.813;507423.5535;5285027.344
3931;507510.5591;5285091.797;507200.1953;5285358.398
3932;508140.4419;5284604.004;507662.8723;5285114.258
3933;510044.5251;5282700.684;509742.8894;5282868.164
3934;506990.7532;5285162.598;506836.853;5285332.031
3935;506873.4741;5284820.313;506574.4934;5284988.281
3936;506699.5544;5284755.859;506252.9602;5285000.488
3937;506237.5793;5284900.391;505662.5671;5284948.731
3938;506796.2952;5284997.559;506434.6008;5285259.766
3939;506114.0137;5285316.406;505596.4661;5285522.461
3940;506380.4321;5285427.734;506033.9355;5285648.926
3941;506244.2017;5285560.547;506006.4392;5285848.633
3942;506672.4243;5286335.938;506412.8723;5286563.965
3943;506865.1733;5286224.121;506691.5588;5286471.68
3944;506248.0164;5286549.316;506025.0549;5286686.523
3945;505973.6328;5286123.047;505866.3635;5286214.356
3946;507599.3958;5285900.391;507458.2825;5285978.516
3947;507621.9482;5286245.606;507199.3103;5286427.246
3948;507281.5857;5286521.973;507029.5105;5286710.938
3949;507179.1992;5286143.066;506868.7134;5286399.902
3950;507012.2375;5286437.988;506859.4666;5286561.035
3951;506842.1936;5285992.676;506506.1951;5286259.766
3952;507331.0852;5285797.852;506917.0227;5286025.391
3953;512126.3428;5285753.906;511885.7117;5285983.398
3954;512400.6958;5285352.051;512300.1709;5285517.578
3955;511912.8113;5285646.973;511810.9436;5285835.449
3956;511108.3069;5286056.641;510755.4321;5286398.926
3957;510653.6865;5286298.828;510341.8884;5286547.363
3958;510753.6621;5286237.305;510499.1455;5286603.027
3959;511018.3105;5286912.109;510883.0566;5287145.508
3960;510591.7358;5287128.906;510452.0264;5287265.625
3961;510334.0149;5286782.715;510245.6665;5287020.508
3962;510531.1279;5286668.945;510447.6013;5286917.481
3963;509982.9712;5286371.094;509787.1704;5286771.484
3964;508162.7502;5286426.27;508028.2898;5286636.231
3965;508407.9895;5286482.422;508300.8728;5286812.988
3966;509633.8501;5287059.082;509439.7278;5287439.453
3967;509591.0034;5287465.332;509463.8367;5287697.754
3968;509773.407;5287463.379;509615.448;5287752.441
3969;509645.7825;5287833.008;509539.917;5288074.219
3971;509177.8564;5286791.504;509087.2498;5286964.844
3972;509049.9268;5286709.961;508794.7693;5287054.199
3973;509416.4429;5286914.551;509136.8103;5287350.586
3974;507866.5161;5286759.766;507834.5032;5287099.121
3975;508650.7263;5286971.191;508354.7058;5287197.266
